"","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","endo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.740528627390895,0.928445518495168,0.858261040396107,0.985328690218513,0.742183862850306,0.928445518495168,0.695667389022162,0.840835744778106,0.761572996461501,NA,0,0,0,0,0,0,0,0,0
"endo",0.740528627390895,1,0.796765241846174,0.571494536109018,0.791646124827621,0.499136124036101,0.796765241846174,0.460803536463516,0.575938157447085,0.494299205259854,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.928445518495168,0.796765241846174,1,0.612910636541543,0.964606613716553,0.515513739034734,1,0.467530314981384,0.649623342701775,0.524022030875858,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.858261040396107,0.571494536109018,0.612910636541543,1,0.784349788095412,0.887749382114122,0.612910636541543,0.854198250890164,0.909067347510138,0.914437288752346,0,0,0,NA,0,0,0,0,0,0
"No_data",0.985328690218513,0.791646124827621,0.964606613716553,0.784349788095412,1,0.628734688524034,0.964606613716553,0.577935566203676,0.798751549202923,0.719088271492333,0,0,0,0,NA,0,0,0,0,0
"5_months",0.742183862850306,0.499136124036101,0.515513739034734,0.887749382114122,0.628734688524034,1,0.515513739034734,0.986464030515048,0.737499720817237,0.67388387601748,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.928445518495168,0.796765241846174,1,0.612910636541543,0.964606613716553,0.515513739034734,1,0.467530314981384,0.649623342701775,0.524022030875858,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.695667389022162,0.460803536463516,0.467530314981384,0.854198250890164,0.577935566203676,0.986464030515048,0.467530314981384,1,0.655440432004737,0.653795882768666,0,0,0,0,0,0,0,NA,0,0
"brain",0.840835744778106,0.575938157447085,0.649623342701775,0.909067347510138,0.798751549202923,0.737499720817237,0.649623342701775,0.655440432004737,1,0.776970945909552,0,0,0,0,0,0,0,0,NA,0
"blood",0.761572996461501,0.494299205259854,0.524022030875858,0.914437288752346,0.719088271492333,0.67388387601748,0.524022030875858,0.653795882768666,0.776970945909552,1,0,0,0,0,0,0,0,0,0,NA
