"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.857126081994728,0.864834764319196,0.856437495705363,0.956552476731105,0.772176949760112,0.864834764319196,0.748564826286672,0.811329511288921,0.727885266197598,NA,0,0,0,0,0,0,0,0,0
"microglia",0.857126081994728,1,0.703749312008653,0.891079554222941,0.877933389412441,0.763258584168952,0.703749312008653,0.699022863330238,0.973257777085115,0.729977370050025,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.864834764319196,0.703749312008653,1,0.511496758245472,0.920196645650763,0.426220884557448,1,0.379321345990591,0.625874044985947,0.38299451644521,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.856437495705363,0.891079554222941,0.511496758245472,1,0.768734549131786,0.911936902725821,0.511496758245472,0.893109943115714,0.88987649020603,0.880347108082046,0,0,0,NA,0,0,0,0,0,0
"No_data",0.956552476731105,0.877933389412441,0.920196645650763,0.768734549131786,1,0.598357197839928,0.920196645650763,0.561953699749628,0.815161635452166,0.697381591870361,0,0,0,0,NA,0,0,0,0,0
"5_months",0.772176949760112,0.763258584168952,0.426220884557448,0.911936902725821,0.598357197839928,1,0.426220884557448,0.974370620503332,0.78143493396903,0.652225313715704,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.864834764319196,0.703749312008653,1,0.511496758245472,0.920196645650763,0.426220884557448,1,0.379321345990591,0.625874044985947,0.38299451644521,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.748564826286672,0.699022863330238,0.379321345990591,0.893109943115714,0.561953699749628,0.974370620503332,0.379321345990591,1,0.698220450008145,0.648224046414243,0,0,0,0,0,0,0,NA,0,0
"brain",0.811329511288921,0.973257777085115,0.625874044985947,0.88987649020603,0.815161635452166,0.78143493396903,0.625874044985947,0.698220450008145,1,0.703625261853083,0,0,0,0,0,0,0,0,NA,0
"blood",0.727885266197598,0.729977370050025,0.38299451644521,0.880347108082046,0.697381591870361,0.652225313715704,0.38299451644521,0.648224046414243,0.703625261853083,1,0,0,0,0,0,0,0,0,0,NA
