"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.626941948908988,0.779813589605559,0.841222038452166,0.947059387701446,0.745922304482261,0.779813589605559,0.708278460265272,0.818568594742451,0.719144554954125,NA,0,0,0,0,0,0,0,0,0
"newoligo",0.626941948908988,1,0.88764141630796,0.221938011113952,0.785219595789531,0.171158406646751,0.88764141630796,0.127164677118991,0.371367691887491,0.137472805346535,0,NA,0,9.18359153079251e-06,0,0.00066629078681868,0,0.0117378215409978,2.88657986402541e-14,0.00640904830365674
"mouse_FVN_Swiss",0.779813589605559,0.88764141630796,1,0.321117181624602,0.915138625217336,0.252432276551895,1,0.20886897229628,0.474510183113489,0.219247767074487,0,0,NA,7.47930606337377e-11,0,4.10142696694038e-07,0,3.06944555630295e-05,0,1.18444076919744e-05
"mouse_C57BL6",0.841222038452166,0.221938011113952,0.321117181624602,1,0.647834647772897,0.915587511917015,0.321117181624602,0.895021121703051,0.832944008084941,0.902806797838962,0,9.18359153079251e-06,7.47930606337377e-11,NA,0,0,7.47930606337377e-11,0,0,0
"No_data",0.947059387701446,0.785219595789531,0.915138625217336,0.647834647772897,1,0.499982692224548,0.915138625217336,0.454518937265323,0.725446525161189,0.578681179696337,0,0,0,0,NA,0,0,0,0,0
"5_months",0.745922304482261,0.171158406646751,0.252432276551895,0.915587511917015,0.499982692224548,1,0.252432276551895,0.990824321628906,0.693220149961329,0.698852832813723,0,0.00066629078681868,4.10142696694038e-07,0,0,NA,4.10142696694038e-07,0,0,0
"cerebral_cortex",0.779813589605559,0.88764141630796,1,0.321117181624602,0.915138625217336,0.252432276551895,1,0.20886897229628,0.474510183113489,0.219247767074487,0,0,0,7.47930606337377e-11,0,4.10142696694038e-07,NA,3.06944555630295e-05,0,1.18444076919744e-05
"peritoneum",0.708278460265272,0.127164677118991,0.20886897229628,0.895021121703051,0.454518937265323,0.990824321628906,0.20886897229628,1,0.616620181687527,0.695335333206628,0,0.0117378215409978,3.06944555630295e-05,0,0,0,3.06944555630295e-05,NA,0,0
"brain",0.818568594742451,0.371367691887491,0.474510183113489,0.832944008084941,0.725446525161189,0.693220149961329,0.474510183113489,0.616620181687527,1,0.660773700711439,0,2.88657986402541e-14,0,0,0,0,0,0,NA,0
"blood",0.719144554954125,0.137472805346535,0.219247767074487,0.902806797838962,0.578681179696337,0.698852832813723,0.219247767074487,0.695335333206628,0.660773700711439,1,0,0.00640904830365674,1.18444076919744e-05,0,0,0,1.18444076919744e-05,0,0,NA
